ID,siblings,shyness
1,4,0.154030503
2,2,0.797946374
3,1,0.228704781
4,1,0.912329658
5,1,0.034576489
6,4,0.193358495
7,4,0.839511092
8,4,0.282423802
9,2,0.850966813
10,2,0.226636108
11,0,0.911303655
12,1,0.580562911
13,1,0.459074526
14,4,0.345013985
15,1,0.456890276
16,0,0.967687695
17,2,0.717170422
18,3,0.268557861
19,1,0.598140926
20,4,0.964962876
21,2,0.902824946
22,0,0.094832156
23,3,0.048675594
24,2,0.543786172
25,3,0.85243437
26,4,0.688202181
27,0,0.253639634
28,4,0.560501515
29,2,0.679434593
30,2,0.215379838
31,4,0.848192475
32,1,0.961526625
33,3,0.448258101
34,1,0.725249722
35,1,0.798993214
36,2,0.04320777
37,2,0.868616687
38,1,0.380380205
39,3,0.666263647
40,0,0.180655793
41,3,0.678667134
42,2,0.219404932
43,2,0.716903541
44,1,0.956860301
45,4,0.770278219
46,1,0.368140912
47,3,0.838883036
48,1,0.515546288
49,1,0.014374379
50,3,0.80565851
51,4,0.581698583
52,4,0.419927703
53,0,0.764021692
54,0,0.235633484
55,3,0.051592236
56,3,0.94020905
57,1,0.408897664
58,1,0.444201173
59,3,0.519956904
60,1,0.108180689
61,1,0.879904
62,0,0.337218089
63,0,0.506444116
64,3,0.44361371
65,3,0.792844072
66,1,0.265889504
67,4,0.571820346
68,2,0.992011644
69,4,0.009822493
70,3,0.25452901
71,2,0.996905224
72,0,0.256515897
73,4,0.76039753
74,3,0.138053171
75,3,0.57730939
76,0,0.727361167
77,3,0.669281669
78,3,0.250277805
79,1,0.825955685
80,0,0.748869337
81,1,0.184373118
82,1,0.077075791
83,4,0.682576507
84,0,0.511360074
85,2,0.209627845
86,1,0.26403499
87,1,0.425132478
88,2,0.962067771
89,1,0.850899288
90,1,0.09087995
91,1,0.894470934
92,0,0.131195375
93,2,0.963964043
94,3,0.800684312
95,1,0.306751692
96,3,0.27038682
97,1,0.909341667
98,0,0.02084739
99,2,0.134086917
100,3,0.863046296
