ID,catdog,Field_short,Social_Media,Field
1,A dog person,Other,8,Cognitive
2,A cat person,Other,10,Health
3,A dog person,Social,14,Social
4,A dog person,Other,10,Other
5,A dog person,Other,9,Educational
6,A dog person,Counseling,13,Counseling
7,A dog person,Other,11,Developmental
8,A cat person,Other,13,Cognitive
9,A cat person,Clinical,13,Clinical
10,A dog person,Other,9,Organizational
11,A dog person,Other,14,Health
12,A dog person,Counseling,9,Counseling
13,A cat person,Other,16,Health
14,A cat person,Other,8,Educational
15,A dog person,Social,10,Social
16,A dog person,Social,11,Social
17,A cat person,Other,15,Other
18,A dog person,Other,6,Cognitive
19,A cat person,Clinical,6,Clinical
20,A dog person,Other,5,Health
21,A dog person,Other,14,Educational
22,A dog person,Other,4,Other
23,A dog person,Other,11,Developmental
24,A cat person,Other,12,Developmental
25,A cat person,Other,17,Cognitive
26,A dog person,Clinical,21,Clinical
27,A dog person,Clinical,13,Clinical
28,A dog person,Other,16,Other
29,A dog person,Clinical,14,Clinical
30,A dog person,Clinical,10,Clinical
31,A dog person,Other,7,Cognitive
32,A dog person,Other,14,Developmental
33,A dog person,Social,13,Social
34,A dog person,Other,13,Health
35,A dog person,Clinical,21,Social
36,A dog person,Other,16,Developmental
37,A dog person,Social,7,Social
38,A cat person,Clinical,8,Clinical
39,A cat person,Counseling,3,Counseling
40,A cat person,Other,15,Developmental
41,A dog person,Clinical,10,Clinical
42,A dog person,Other,12,Educational
43,A dog person,Other,11,Cognitive
44,A dog person,Social,8,Social
45,A dog person,Counseling,9,Counseling
46,A dog person,Other,18,Developmental
47,A dog person,Other,12,Health
48,A cat person,Clinical,14,Clinical
49,A dog person,Other,8,Developmental
50,A dog person,Other,7,Cognitive
51,A dog person,Counseling,18,Counseling
52,A cat person,Clinical,12,Clinical
53,A dog person,Clinical,19,Clinical
54,A dog person,Other,11,Developmental
55,A dog person,Other,14,Educational
56,A dog person,Clinical,13,Clinical
57,A dog person,Other,12,Health
58,A dog person,Clinical,8,Clinical
59,A cat person,Clinical,14,Clinical
60,A dog person,Counseling,19,Counseling
61,A dog person,Social,9,Social
62,A dog person,Other,15,Cognitive
63,A dog person,Social,6,Social
64,A dog person,Social,5,Social
65,A cat person,Counseling,10,Counseling
66,A cat person,Other,17,Educational
67,A dog person,Clinical,12,Clinical
68,A dog person,Other,12,Other
69,A dog person,Clinical,14,Clinical
70,A dog person,Counseling,9,Counseling
71,A cat person,Other,10,Educational
72,A dog person,Social,10,Social
73,A dog person,Other,7,Other
74,A cat person,Other,11,Developmental
75,A dog person,Counseling,9,Counseling
76,A cat person,Clinical,11,Clinical
77,A dog person,Clinical,15,Clinical
78,A cat person,Other,17,Cognitive
79,A dog person,Other,5,Cognitive
80,A dog person,Social,4,Social
81,A cat person,Other,13,Developmental
82,A cat person,Other,14,Cognitive
83,A cat person,Clinical,8,Clinical
84,A dog person,Other,7,Cognitive
85,A dog person,Counseling,6,Counseling
86,A cat person,Other,7,Educational
87,A dog person,Other,14,Educational
88,A dog person,Other,12,Cognitive
89,A dog person,Other,6,Developmental
90,A cat person,Other,12,Organizational
91,A dog person,Other,11,Other
92,A cat person,Clinical,9,Clinical
93,A dog person,Other,15,Developmental
94,A dog person,Other,12,Health
95,A cat person,Other,18,Cognitive
96,A cat person,Other,13,Health
97,A dog person,Social,0,Developmental
98,A dog person,Other,19,Other
99,A dog person,Clinical,18,Clinical
100,A dog person,Clinical,16,Clinical
101,A dog person,Counseling,12,Counseling
102,A dog person,Social,8,Social
103,A cat person,Other,9,Cognitive
104,A dog person,Other,13,Other
105,A dog person,Counseling,11,Counseling
106,A dog person,Other,14,Developmental
107,A cat person,Other,14,Educational
108,A dog person,Social,10,Social
109,A dog person,Social,13,Social
110,A cat person,Social,18,Social
111,A dog person,Clinical,3,Clinical
112,A dog person,Counseling,6,Counseling
113,A dog person,Other,11,Cognitive
114,A cat person,Social,6,Social
115,A dog person,Other,8,Other
116,A cat person,Clinical,9,Clinical
117,A cat person,Social,18,Social
118,A dog person,Social,7,Social
119,A cat person,Clinical,6,Clinical
120,A cat person,Other,11,Cognitive
121,A cat person,Clinical,14,Clinical
122,A dog person,Clinical,19,Social
123,A dog person,Social,0,Other
124,A cat person,Clinical,13,Clinical
125,A dog person,Other,14,Cognitive
126,A cat person,Social,4,Clinical
127,A dog person,Counseling,5,Counseling
128,A dog person,Other,9,Developmental
129,A dog person,Other,14,Cognitive
130,A dog person,Other,9,Health
131,A dog person,Social,14,Social
132,A cat person,Counseling,14,Counseling
133,A dog person,Clinical,6,Clinical
134,A dog person,Other,6,Other
135,A cat person,Social,14,Social
136,A cat person,Counseling,12,Counseling
137,A dog person,Other,10,Health
138,A dog person,Other,13,Educational
139,A cat person,Clinical,8,Clinical
140,A cat person,Other,6,Educational
141,A dog person,Other,14,Organizational
142,A dog person,Counseling,11,Counseling
143,A cat person,Other,10,Cognitive
144,A dog person,Clinical,19,Clinical
145,A dog person,Other,13,Cognitive
146,A cat person,Clinical,16,Clinical
147,A dog person,Counseling,9,Counseling
148,A dog person,Clinical,9,Clinical
149,A dog person,Counseling,13,Counseling
