participant,Gaze,Pose,powerful
1,direct,NoPowerpose,3
2,down,Powerpose,3
3,direct,Powerpose,3
4,down,Powerpose,2
5,direct,Powerpose,3
6,down,NoPowerpose,2
7,direct,Powerpose,3
8,down,NoPowerpose,2
9,down,NoPowerpose,2
10,down,NoPowerpose,3
11,down,NoPowerpose,3
12,down,NoPowerpose,2
13,down,NoPowerpose,3
14,direct,NoPowerpose,3
15,direct,NoPowerpose,3
16,direct,NoPowerpose,4
17,direct,NoPowerpose,4
18,direct,NoPowerpose,3
19,down,Powerpose,4
20,direct,NoPowerpose,2
21,down,NoPowerpose,3
22,down,NoPowerpose,1
23,down,Powerpose,2
24,direct,Powerpose,2
25,direct,Powerpose,2
26,down,NoPowerpose,3
27,direct,Powerpose,3
28,direct,NoPowerpose,3
29,down,NoPowerpose,2
30,down,Powerpose,3
31,down,Powerpose,3
32,direct,NoPowerpose,3
33,down,NoPowerpose,2
34,direct,NoPowerpose,3
35,down,NoPowerpose,2
36,down,Powerpose,2
37,down,Powerpose,3
38,down,NoPowerpose,3
39,direct,Powerpose,3
40,direct,Powerpose,3
41,down,Powerpose,3
42,direct,NoPowerpose,3
43,direct,NoPowerpose,2
44,direct,NoPowerpose,4
45,down,Powerpose,2
46,down,NoPowerpose,3
47,direct,Powerpose,2
48,direct,NoPowerpose,4
49,direct,NoPowerpose,2
50,direct,Powerpose,2
51,direct,NoPowerpose,2
52,direct,NoPowerpose,3
53,direct,Powerpose,3
54,direct,Powerpose,2
55,direct,Powerpose,2
56,down,NoPowerpose,2
57,direct,NoPowerpose,3
58,down,Powerpose,3
59,down,Powerpose,2
60,down,Powerpose,3
61,down,Powerpose,2
62,down,NoPowerpose,4
63,down,Powerpose,3
64,direct,NoPowerpose,3
65,down,NoPowerpose,3
66,down,Powerpose,2
67,direct,NoPowerpose,3
68,down,Powerpose,2
69,down,NoPowerpose,3
70,down,Powerpose,2
71,down,Powerpose,3
72,direct,Powerpose,2
73,down,NoPowerpose,3
74,down,Powerpose,3
75,direct,NoPowerpose,2
76,down,NoPowerpose,3
77,direct,Powerpose,1
78,direct,Powerpose,2
79,down,NoPowerpose,2
80,direct,NoPowerpose,2
81,direct,Powerpose,3
82,down,NoPowerpose,3
83,direct,Powerpose,1
84,down,Powerpose,3
85,down,NoPowerpose,1
86,down,Powerpose,3
87,down,Powerpose,2
88,direct,Powerpose,3
89,direct,NoPowerpose,2
90,down,Powerpose,2
91,direct,NoPowerpose,2
92,direct,NoPowerpose,2
93,direct,Powerpose,1
94,direct,NoPowerpose,2
95,down,Powerpose,2
96,down,NoPowerpose,2
97,direct,NoPowerpose,3
98,direct,Powerpose,3
99,direct,NoPowerpose,3
100,direct,NoPowerpose,2
101,direct,Powerpose,3
102,direct,Powerpose,2
103,direct,Powerpose,2
104,down,NoPowerpose,2
105,direct,NoPowerpose,3
106,direct,Powerpose,2
107,direct,NoPowerpose,3
108,direct,Powerpose,3
109,down,Powerpose,1
110,down,Powerpose,3
111,direct,Powerpose,3
112,direct,Powerpose,2
113,down,NoPowerpose,2
114,down,NoPowerpose,3
115,down,Powerpose,3
116,down,Powerpose,2
117,direct,NoPowerpose,3
118,direct,NoPowerpose,3
119,down,Powerpose,4
120,direct,NoPowerpose,3
121,down,Powerpose,2
122,direct,NoPowerpose,2
123,direct,NoPowerpose,3
124,direct,Powerpose,3
125,down,NoPowerpose,3
126,down,NoPowerpose,3
127,down,Powerpose,1
128,down,NoPowerpose,3
129,down,Powerpose,3
130,down,Powerpose,2
131,down,Powerpose,2
132,direct,Powerpose,2
133,down,NoPowerpose,2
134,direct,Powerpose,1
135,direct,NoPowerpose,3
136,down,NoPowerpose,3
137,direct,NoPowerpose,4
138,down,NoPowerpose,3
139,down,Powerpose,2
140,direct,NoPowerpose,3
141,direct,NoPowerpose,2
142,down,NoPowerpose,2
143,direct,Powerpose,3
144,direct,Powerpose,3
145,down,Powerpose,2
146,direct,NoPowerpose,3
147,direct,NoPowerpose,3
148,down,Powerpose,2
149,down,NoPowerpose,3
150,direct,NoPowerpose,2
151,direct,Powerpose,2
152,down,Powerpose,2
153,direct,NoPowerpose,1
154,down,NoPowerpose,3
155,direct,Powerpose,3
156,direct,NoPowerpose,3
157,direct,Powerpose,1
158,down,Powerpose,3
159,down,NoPowerpose,2
160,direct,Powerpose,3
161,direct,Powerpose,2
162,down,Powerpose,3
163,direct,NoPowerpose,2
164,down,Powerpose,2
165,direct,NoPowerpose,2
166,direct,NoPowerpose,3
167,direct,Powerpose,1
168,down,NoPowerpose,1
169,down,Powerpose,2
170,down,NoPowerpose,2
171,down,NoPowerpose,3
172,down,Powerpose,3
173,direct,NoPowerpose,2
174,down,NoPowerpose,3
175,direct,Powerpose,2
176,direct,Powerpose,2
177,down,Powerpose,3
178,direct,NoPowerpose,2
179,down,NoPowerpose,3
180,down,Powerpose,2
181,direct,Powerpose,3
182,direct,Powerpose,2
183,down,Powerpose,3
184,direct,NoPowerpose,2
185,direct,Powerpose,3
186,down,NoPowerpose,3
187,direct,NoPowerpose,3
188,down,NoPowerpose,3
189,down,NoPowerpose,2
190,direct,Powerpose,3
191,direct,NoPowerpose,2
192,down,NoPowerpose,1
193,direct,NoPowerpose,2
194,down,Powerpose,2
195,direct,Powerpose,3
196,direct,Powerpose,2
197,direct,NoPowerpose,2
198,down,Powerpose,3
199,down,NoPowerpose,3
200,down,NoPowerpose,4
201,down,Powerpose,3
202,down,Powerpose,2
203,direct,NoPowerpose,2
204,down,NoPowerpose,2
205,direct,Powerpose,2
206,direct,NoPowerpose,2
207,down,Powerpose,3
208,direct,Powerpose,2
209,down,NoPowerpose,2
210,down,Powerpose,2
211,down,Powerpose,2
212,direct,Powerpose,3
213,direct,NoPowerpose,3
214,down,Powerpose,2
215,direct,NoPowerpose,2
